
====================================RANDOM=====================================
                    merge         insert               merge              insert
 Data size   Time use(ms)                         Comparison
      1000            250           1703                8704              250706
      2000            401           6347               19406              996666
      3000            632          14174               30946             2229747
      4000            865          25571               42815             4021099
      5000           1099          39651               55235             6233696
      6000           1346          57104               67850             8974796
      7000           1603          77846               80693            12256975
      8000           1865         101751               93650            16032185
      9000           2113         128623              106972            20246696
     10000           2368         158541              120437            24966444
     20000           5056         635843              260916           100021122
     30000           7882        1426786              408553           224622352
     40000          10762        2537935              561878           399623755
     50000          13708        3969948              718174           624609891
     60000          16725        5719313              877169           899607497
     70000          19776        7800698             1038836          1226824661
     80000          23030       10164820             1203570          1598733642
     90000          26246       12893131             1369446          2025155193
    100000          29100       15968806             1536267          2500702717
    110000          32539       19336802             1705113          3026856544
    120000          35396       22921990             1874387          3602070142
    130000          38915       26876423             2044361          4221819366
    140000          41902       31324536             2217877          4904735084
    150000          45140       35796733             2392234          5622245834
    160000          48278       40700095             2567184          6393616444
    170000          51436       45996525             2742785          7226282342
    180000          55388       51614119             2918964          8106012114
    190000          58065       57450118             3095414          9024061782
    200000          61350       63659494             3272801          9996137707
    210000          65055       70272612             3451339         11027055925
    220000          68486       77092801             3630019         12105818497
    230000          71225       84168181             3809283         13219272235
    240000          75117       91700599             3988823         14397501027
    250000          77986       99575218             4168580         15634906505
    260000          82079      107672558             4348475         16901969204
    270000          84608      116081664             4531712         18219413676
    280000          88129      125040496             4715701         19601598203
    290000          91637      134042985             4900040         21015146702

===================================ASCENDING===================================
                    merge         insert               merge              insert
 Data size   Time use(ms)                         Comparison
      1000            114           3178                5044              500499
      2000            249          12701               11088             2000999
      3000            388          28551               18076             4501499
      4000            527          50781               24176             8001999
      5000            677          79420               32004            12502499
      6000            826         114410               39152            18002999
      7000            976         155443               46180            24503499
      8000           1126         203037               52352            32003999
      9000           1287         256971               60796            40504499
     10000           1443         317392               69008            50004999
     20000           3053        1270514              148016           200009999
     30000           4705        2860114              227728           450014999
     40000           6454        5083406              316032           800019999
     50000           8316        7988058              401952          1250024999
     60000           9955       11500655              485456          1800029999
     70000          11729       15643383              573728          2450034999
     80000          13836       20529435              672064          3200039999
     90000          15631       25807542              765248          4050044999
    100000          17245       31864616              853904          5000049999
    110000          19048       38515688              945872          6050054999
    120000          20998       45891852             1030912          7200059999
    130000          22810       54000400             1107744          8450064999
    140000          24733       62560844             1217456          9800069999
    150000          26559       71682730             1323632         11250074999
    160000          28494       81526834             1424128         12800079999
    170000          30529       92293641             1524944         14450084999
    180000          32774      103191185             1620496         16200089999
    190000          34232      114990614             1715440         18050094999
    200000          36082      127525820             1807808         20000099999
    210000          38135      140513867             1907568         22050104999
    220000          40166      154379256             2001744         24200109999
    230000          41666      168546698             2087968         26450114999
    240000          43668      183453519             2181824         28800119999
    250000          45588      199084409             2266608         31250124999
    260000          47803      215302667             2345488         33800129999
    270000          49555      232219998             2458336         36450134999
    280000          51720      249868570             2574912         39200139999
    290000          54040      271945953             2687280         42050144999

===================================DESCENDING==================================
                    merge         insert               merge              insert
 Data size   Time use(ms)                         Comparison
      1000            118              7                4932                 999
      2000            253             15               10864                1999
      3000            394             22               16828                2999
      4000            542             30               23728                3999
      5000            686             37               29804                4999
      6000            835             45               36656                5999
      7000            996             52               43628                6999
      8000           1156             60               51456                7999
      9000           1309             67               57820                8999
     10000           1467             75               64608                9999
     20000           3096            151              139216               19999
     30000           4798            226              219504               29999
     40000           6493            299              298432               39999
     50000           8173            372              382512               49999
     60000          10162            453              469008               59999
     70000          11876            528              555200               69999
     80000          13953            604              636864               79999
     90000          15862            684              723680               89999
    100000          17499            757              815024               99999
    110000          19415            839              903056              109999
    120000          21351            906              998016              119999
    130000          23432            977             1101184              129999
    140000          25024           1045             1180400              139999
    150000          26836           1131             1264224              149999
    160000          28771           1231             1353728              159999
    170000          30835           1298             1442912              169999
    180000          33269           1360             1537360              179999
    190000          34423           1416             1632416              189999
    200000          36611           1507             1730048              199999
    210000          37675           1542             1820288              209999
    220000          39629           1624             1916112              219999
    230000          41261           1694             2019888              229999
    240000          43316           1762             2116032              239999
    250000          45868           1863             2221248              249999
    260000          49319           2008             2332368              259999
    270000          50896           2046             2417376              269999
    280000          52955           2119             2500800              279999
    290000          54351           2184             2588432              289999
